/docs/2025-06-18/develop/build-client.md	Build an MCP client	Get started building your own client that can integrate with all MCP servers.
/docs/2025-06-18/develop/build-server.md	Build an MCP server	Get started building your own server to use in Claude for Desktop and other clients.
/docs/2025-06-18/develop/build-with-agent-skills.md	Build with Agent Skills	Use agent skills to guide AI coding assistants through MCP server design and implementation
/docs/2025-06-18/develop/clients/client-best-practices.md	Client Best Practices	Patterns for scaling MCP host applications across many servers and tools.
/docs/2025-06-18/develop/connect-local-servers.md	Connect to local MCP servers	Learn how to extend Claude Desktop with local MCP servers to enable file system access and other powerful integrations
/docs/2025-06-18/develop/connect-remote-servers.md	Connect to remote MCP Servers	Learn how to connect Claude to remote MCP servers and extend its capabilities with internet-hosted tools and data sources
/docs/2025-06-18/getting-started/intro.md	What is the Model Context Protocol (MCP)?	
/docs/2025-06-18/learn/architecture.md	Architecture overview	
/docs/2025-06-18/learn/client-concepts.md	Understanding MCP clients	
/docs/2025-06-18/learn/server-concepts.md	Understanding MCP servers	
/docs/2025-06-18/learn/versioning.md	Versioning	
/docs/2025-06-18/sdk.md	SDKs	Official SDKs for building with Model Context Protocol
/docs/2025-06-18/tools/debugging.md	Debugging	A comprehensive guide to debugging Model Context Protocol (MCP) integrations
/docs/2025-06-18/tools/inspector.md	MCP Inspector	In-depth guide to using the MCP Inspector for testing and debugging Model Context Protocol servers
/docs/2025-06-18/tutorials/security/authorization.md	Understanding Authorization in MCP	Learn how to implement secure authorization for MCP servers using OAuth 2.1 to protect sensitive resources and operations
/docs/2025-06-18/tutorials/security/security_best_practices.md	Security Best Practices	Security considerations, attack vectors, and best practices for MCP implementations
/docs/2025-11-25/develop/build-client.md	Build an MCP client	Get started building your own client that can integrate with all MCP servers.
/docs/2025-11-25/develop/build-server.md	Build an MCP server	Get started building your own server to use in Claude for Desktop and other clients.
/docs/2025-11-25/develop/build-with-agent-skills.md	Build with Agent Skills	Use agent skills to guide AI coding assistants through MCP server design and implementation
/docs/2025-11-25/develop/clients/client-best-practices.md	Client Best Practices	Patterns for scaling MCP host applications across many servers and tools.
/docs/2025-11-25/develop/connect-local-servers.md	Connect to local MCP servers	Learn how to extend Claude Desktop with local MCP servers to enable file system access and other powerful integrations
/docs/2025-11-25/develop/connect-remote-servers.md	Connect to remote MCP Servers	Learn how to connect Claude to remote MCP servers and extend its capabilities with internet-hosted tools and data sources
/docs/2025-11-25/getting-started/intro.md	What is the Model Context Protocol (MCP)?	
/docs/2025-11-25/learn/architecture.md	Architecture overview	
/docs/2025-11-25/learn/client-concepts.md	Understanding MCP clients	
/docs/2025-11-25/learn/server-concepts.md	Understanding MCP servers	
/docs/2025-11-25/learn/versioning.md	Versioning	
/docs/2025-11-25/sdk.md	SDKs	Official SDKs for building with Model Context Protocol
/docs/2025-11-25/tools/debugging.md	Debugging	A comprehensive guide to debugging Model Context Protocol (MCP) integrations
/docs/2025-11-25/tools/inspector.md	MCP Inspector	In-depth guide to using the MCP Inspector for testing and debugging Model Context Protocol servers
/docs/2025-11-25/tutorials/security/authorization.md	Understanding Authorization in MCP	Learn how to implement secure authorization for MCP servers using OAuth 2.1 to protect sensitive resources and operations
/docs/2025-11-25/tutorials/security/security_best_practices.md	Security Best Practices	Security considerations, attack vectors, and best practices for MCP implementations
/docs/2026-07-28/develop/build-client.md	Build an MCP client	Get started building your own client that can integrate with all MCP servers.
/docs/2026-07-28/develop/build-server.md	Build an MCP server	Get started building your own server to use in Claude for Desktop and other clients.
/docs/2026-07-28/develop/build-with-agent-skills.md	Build with Agent Skills	Use agent skills to guide AI coding assistants through MCP server design and implementation
/docs/2026-07-28/develop/clients/client-best-practices.md	Client Best Practices	Patterns for scaling MCP host applications across many servers and tools.
/docs/2026-07-28/develop/connect-local-servers.md	Connect to local MCP servers	Learn how to extend Claude Desktop with local MCP servers to enable file system access and other powerful integrations
/docs/2026-07-28/develop/connect-remote-servers.md	Connect to remote MCP Servers	Learn how to connect Claude to remote MCP servers and extend its capabilities with internet-hosted tools and data sources
/docs/2026-07-28/getting-started/intro.md	What is the Model Context Protocol (MCP)?	
/docs/2026-07-28/learn/architecture.md	Architecture overview	
